nom_du_champ,type,titre_mobile,obligatoire,valeur_par_defaut,reference_autre_table,liste_de_choix,remarque_metier
conformite_plan,varchar(254),Conformite Plan,non,,,"Oui, Non",Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Conformite avec plans existants
type_tampon,varchar(254),Type Tampon,non,,,"Fonte grise, Fonte ductile, Béton, Composite, Trappe",Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Type tampon
classe_tampon,varchar(254),Classe Tampon,non,,,"D400, C25, B125, CL400, C250, E600",Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Classe resistance tampon
accessibilite,varchar(254),Accessibilite,non,,,"Oui, Non",Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Accessibilite
rehabilitation,varchar(254),Rehabilitation,non,,,"Oui, Non",Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Rehabilitation effectuee (oui/non)
nature_corps,varchar(254),Nature Corps,non,,,"Béton, Préfabriqué, Maçonnerie, Brique",Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Nature corps regard
anomalie,bool,Anomalie,non,false,,"Oui, Non",Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Presence d'anomalie
