nom_du_champ,type,titre_mobile,obligatoire,valeur_par_defaut,reference_autre_table,liste_de_choix,remarque_metier
conformite_plan,varchar(254),Conformite Plan,non,,,"Oui, Non",Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Conformite avec plans existants
type_bassin,varchar(254),Type Bassin,non,,,"Bassin stockage enterré, Bassin stockage ciel ouvert","Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Type bassin (retention, decantation...)"
anomalie,bool,Anomalie,non,false,,"Oui, Non",Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Presence d'anomalie
