nom_du_champ,type,titre_mobile,obligatoire,valeur_par_defaut,reference_autre_table,liste_de_choix,remarque_metier
tension_bt,varchar(254),Tension Bt,non,,,"B1, B2, B1/B2",Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Tension BT
anomalie,bool,Anomalie,non,false,,"Oui, Non",Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Presence d'anomalie
