nom_du_champ,type,titre_mobile,obligatoire,valeur_par_defaut,reference_autre_table,liste_de_choix,remarque_metier
status_troncon,varchar(254),Status Troncon,non,,,"En service, Hors service, Abandonné",Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Statut troncon
metal_conduct,varchar(254),Metal Conduct,non,,,"AA (Alu-acier) | AL (Alu) | AM (Almélec) | CU (Cuivre) | LA, LR","Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Metal conducteur (cuivre, alu...)"
type_mise_terre,varchar(254),Type Mise Terre,non,,,"Inexistant, Continu, En Dérivation, Piquet",Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Type mise a la terre
tension,varchar(254),Tension,non,,,"225kV, 60kV, 20kV, 11kV, 5.5kV, 400V",Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Niveau tension
