nom_du_champ,type,titre_mobile,obligatoire,valeur_par_defaut,reference_autre_table,liste_de_choix,remarque_metier
type_raccord,varchar(254),Type Raccord,non,,,"Boîte Jonction, Chgt Section, Remontée aéro-sout., Noeud Etoilement, Limite tronçon, Arrêt ligne, Pt ouverture",Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Type raccordement
conformite_plan,varchar(254),Conformite Plan,non,,,"Oui, Non",Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Conformite avec plans existants
