nom_du_champ,type,titre_mobile,obligatoire,valeur_par_defaut,reference_autre_table,liste_de_choix,remarque_metier
conformite_plan,varchar(254),Conformite Plan,non,,,"Oui, Non",Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Conformite avec plans existants
etat,varchar(254),Etat,non,,,"En service, Hors service, Réhabilité, Abandonné","Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Etat general (bon, moyen, mauvais...)"
typereseau,varchar(254),Typereseau,non,,,"Eaux usées, Eaux pluviales, Unitaire, Irrigation, Pseudo-séparatif","Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Type reseau (unitaire, separatif, pluvial...)"
rehabilitation,varchar(254),Rehabilitation,non,,,"Oui, Non",Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Rehabilitation effectuee (oui/non)
emplacement,varchar(254),Emplacement,non,,,"Chaussée, Trottoir, Accotement, Privé, Terrain naturel, Terrain agricole, Espace vert, Autre","Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Emplacement (chaussee, trottoir...)"
type_section,varchar(254),Type Section,non,,,"Section fermée, Section à ciel ouvert","Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Type section (circulaire, ovoide...)"
type_rehabilitation,varchar(254),Type Rehabilitation,non,,,"TRANCHE, CHEMISAGE, GAINAGE, TUBAGE, ECLATEMENT",Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Type rehabilitation
