nom_du_champ,type,titre_mobile,obligatoire,valeur_par_defaut,reference_autre_table,liste_de_choix,remarque_metier
boite_coupure,varchar(254),Boite Coupure,non,,,"Aucune, Fonte, Métal, Niche, Polyester, Autre",Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Boite coupure
conformite_plan,varchar(254),Conformite Plan,non,,,"Oui, Non",Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Conformite avec plans existants
anomalie,bool,Anomalie,non,false,,"Oui, Non",Mode de remplissage: pre-rempli / automatique / relation spatiale selon le code couleur source | Description: Presence d'anomalie
